Product_ID,Category,Sub_Category,Product_Name,Selling_Price_INR,Cost_INR,Stock_Quantity,Product_Rating,Review_Count
P00001,Electronics,Smartphones,HomeEase Smartphones 01,38963.91,19508.25,735,3.9,462
P00002,Electronics,Smartphones,GlowCare Smartphones 02,34712.88,20542.94,770,4.8,518
P00003,Electronics,Smartphones,Zenith Smartphones 03,64020.56,33079.73,199,3.6,2011
P00004,Electronics,Smartphones,GlowCare Smartphones 04,51064.49,27504.86,636,3.7,3095
P00005,Electronics,Smartphones,ByteMax Smartphones 05,62372.69,37007.43,216,4.5,1255
P00006,Electronics,Smartphones,NovaTech Smartphones 06,78408.59,47223.62,431,3.9,4773
P00007,Electronics,Smartphones,Aarohi Smartphones 07,37547.51,21208.99,239,4.4,3271
P00008,Electronics,Smartphones,ByteMax Smartphones 08,876.59,645.73,789,4.4,1550
P00009,Electronics,Smartphones,FitPro Smartphones 09,18140.6,13406.15,39,3.9,3196
P00010,Electronics,Smartphones,Aarohi Smartphones 10,62923.52,48390.56,866,3.7,3264
P00011,Electronics,Smartphones,DailyKart Smartphones 11,1235.43,803.81,158,3.6,946
P00012,Electronics,Smartphones,DailyKart Smartphones 12,913.94,703.62,781,3.6,3422
P00013,Electronics,Smartphones,Aarohi Smartphones 13,19463.49,10396.84,542,4,4106
P00014,Electronics,Smartphones,Aarohi Smartphones 14,6607.02,3522.56,851,4.4,4199
P00015,Electronics,Smartphones,HomeEase Smartphones 15,68218.15,37413.83,276,4.3,3417
P00016,Electronics,Smartphones,NovaTech Smartphones 16,32380.01,23306.17,925,4.5,4331
P00017,Electronics,Smartphones,GlowCare Smartphones 17,1559.2,976.88,832,3.5,4765
P00018,Electronics,Smartphones,NovaTech Smartphones 18,46087.7,34655.33,135,3.7,4958
P00019,Electronics,Smartphones,DailyKart Smartphones 19,87318.03,48375.59,993,4.6,2236
P00020,Electronics,Smartphones,DailyKart Smartphones 20,74563.13,58123.56,489,4.2,4191
P00021,Electronics,Smartphones,Zenith Smartphones 21,29023.29,14968.22,700,4.7,646
P00022,Electronics,Smartphones,Zenith Smartphones 22,67841.05,49756,925,4,1754
P00023,Electronics,Smartphones,UrbanNest Smartphones 23,42952.36,22236.49,186,3.8,4452
P00024,Electronics,Smartphones,ByteMax Smartphones 24,26739.77,15047.61,409,3.5,4321
P00025,Electronics,Smartphones,ByteMax Smartphones 25,41519.83,25889.54,442,4.8,4152
P00026,Electronics,Smartphones,Aarohi Smartphones 26,77536.64,55324.31,630,3.7,1953
P00027,Electronics,Smartphones,GlowCare Smartphones 27,14567.37,8544.64,726,3.5,4202
P00028,Electronics,Smartphones,UrbanNest Smartphones 28,63759.02,42076.51,231,4.5,3484
P00029,Electronics,Smartphones,Aarohi Smartphones 29,21442.71,13585.48,686,4.2,2939
P00030,Electronics,Smartphones,ByteMax Smartphones 30,30595.86,23197.18,676,3.9,4135
P00031,Electronics,Smartphones,UrbanNest Smartphones 31,56606.85,31131.82,49,3.5,4573
P00032,Electronics,Smartphones,Zenith Smartphones 32,14371.12,10553.51,475,4,4248
P00033,Electronics,Smartphones,NovaTech Smartphones 33,82509.39,63082.57,240,3.6,1988
P00034,Electronics,Smartphones,ByteMax Smartphones 34,14634.31,8986.27,776,3.4,125
P00035,Electronics,Smartphones,ByteMax Smartphones 35,8542.72,5126.71,500,4.7,2894
P00036,Electronics,Smartphones,GlowCare Smartphones 36,22513.7,15482.44,387,4.3,2345
P00037,Electronics,Smartphones,HomeEase Smartphones 37,44954.52,28527.85,118,3.6,1292
P00038,Electronics,Smartphones,GlowCare Smartphones 38,31993.68,15640.03,492,4.8,3044
P00039,Electronics,Smartphones,UrbanNest Smartphones 39,53863.83,30840.78,956,3.4,1204
P00040,Electronics,Smartphones,Zenith Smartphones 40,61950.31,45699.53,413,4.7,603
P00041,Electronics,Smartphones,DailyKart Smartphones 41,55698.21,42297.19,968,3.7,4134
P00042,Electronics,Smartphones,Vistara Smartphones 42,88126.65,45631.79,805,3.9,3762
P00043,Electronics,Laptops,FitPro Laptops 01,67511.82,35565.44,793,4.1,856
P00044,Electronics,Laptops,Zenith Laptops 02,32849.24,17643.49,886,3.7,1540
P00045,Electronics,Laptops,HomeEase Laptops 03,20720.08,11970.41,316,4.8,3946
P00046,Electronics,Laptops,DailyKart Laptops 04,59747.98,35097.45,514,4.4,1799
P00047,Electronics,Laptops,GlowCare Laptops 05,19062.84,13715.5,470,4.9,2141
P00048,Electronics,Laptops,Vistara Laptops 06,19206.97,14905.68,983,4.8,2840
P00049,Electronics,Laptops,Zenith Laptops 07,56640.2,39089.83,482,4.8,4994
P00050,Electronics,Laptops,DailyKart Laptops 08,40047.49,19888.02,342,4.1,3594
P00051,Electronics,Laptops,NovaTech Laptops 09,82250.84,55987.37,405,4.3,3756
P00052,Electronics,Laptops,FitPro Laptops 10,12382.62,8272.31,949,4.1,1401
P00053,Electronics,Laptops,ByteMax Laptops 11,85197.65,63671.91,734,4.8,587
P00054,Electronics,Laptops,GlowCare Laptops 12,20128.84,10181.58,851,4.4,2391
P00055,Electronics,Laptops,GlowCare Laptops 13,69367.04,36321.12,154,4.4,1815
P00056,Electronics,Laptops,Aarohi Laptops 14,42889.65,24745.48,977,3.7,2695
P00057,Electronics,Laptops,NovaTech Laptops 15,45379.96,22075.38,643,4.4,1511
P00058,Electronics,Laptops,FitPro Laptops 16,59040.75,28383,580,4,3204
P00059,Electronics,Laptops,UrbanNest Laptops 17,63913.83,42717.15,297,3.6,807
P00060,Electronics,Laptops,Aarohi Laptops 18,85554.24,66272.69,741,3.5,1719
P00061,Electronics,Laptops,Vistara Laptops 19,21991.75,13385.74,990,4.1,3471
P00062,Electronics,Laptops,HomeEase Laptops 20,51551.68,35576.51,494,4.6,2869
P00063,Electronics,Laptops,ByteMax Laptops 21,72428.2,52006.12,207,4.2,1116
P00064,Electronics,Laptops,Zenith Laptops 22,13483.99,7039.59,479,4.2,4229
P00065,Electronics,Laptops,FitPro Laptops 23,56811.05,27961.61,436,3.6,3572
P00066,Electronics,Laptops,NovaTech Laptops 24,58471.97,28548.27,688,4.9,3120
P00067,Electronics,Laptops,UrbanNest Laptops 25,47724.26,33875.07,827,4.3,2261
P00068,Electronics,Laptops,Zenith Laptops 26,43684.91,21913.47,469,4.2,3049
P00069,Electronics,Laptops,NovaTech Laptops 27,44007.42,26609.55,952,3.9,1603
P00070,Electronics,Laptops,NovaTech Laptops 28,60116.83,42091.8,507,3.5,4027
P00071,Electronics,Laptops,Vistara Laptops 29,72782.18,50707.49,142,4.8,2854
P00072,Electronics,Laptops,ByteMax Laptops 30,66491.24,47470.14,850,4.8,1890
P00073,Electronics,Laptops,UrbanNest Laptops 31,86560.71,51491.27,768,4.1,3556
P00074,Electronics,Laptops,Aarohi Laptops 32,6519.83,3463.82,346,4.5,1745
P00075,Electronics,Laptops,GlowCare Laptops 33,16779.4,9158.73,763,4.4,2686
P00076,Electronics,Laptops,Zenith Laptops 34,63213.48,44463.86,51,4.1,4028
P00077,Electronics,Laptops,NovaTech Laptops 35,36765.87,20243.1,933,4.3,371
P00078,Electronics,Laptops,GlowCare Laptops 36,47015.2,26535.79,442,4.2,3665
P00079,Electronics,Laptops,Vistara Laptops 37,34462.04,25168.52,26,4.5,3933
P00080,Electronics,Laptops,GlowCare Laptops 38,42743.98,30618.01,678,3.6,4874
P00081,Electronics,Laptops,UrbanNest Laptops 39,70810.06,49532.98,365,3.7,1053
P00082,Electronics,Laptops,Vistara Laptops 40,68566.96,51871.97,139,4.6,4335
P00083,Electronics,Laptops,ByteMax Laptops 41,48136.06,33248.57,606,4.1,3512
P00084,Electronics,Laptops,FitPro Laptops 42,26241.24,19072.59,955,4.7,2276
P00085,Electronics,Audio,Aarohi Audio 01,64937.47,31524.73,371,4.3,1631
P00086,Electronics,Audio,UrbanNest Audio 02,31287.63,16194.29,89,4.3,1852
P00087,Electronics,Audio,DailyKart Audio 03,70650.85,46436.29,73,4,2129
P00088,Electronics,Audio,UrbanNest Audio 04,12735.31,8494.47,86,4.1,2065
P00089,Electronics,Audio,Zenith Audio 05,28448.33,21090.05,165,3.9,319
P00090,Electronics,Audio,FitPro Audio 06,32544.23,24462.57,606,4.6,4106
