Customer_ID,Age,City,State,Gender,Customer_Tier,Signup_Date,Acquisition_Channel,Preferred_Device
C00001,23,Pune,Maharashtra,Female,Regular,05-03-23,Referral,Desktop
C00002,39,Bhubaneswar,Odisha,Female,New,06-03-25,Referral,Desktop
C00003,22,Rajkot,Gujarat,Female,New,14-09-23,Paid Search,Desktop
C00004,24,Varanasi,Uttar Pradesh,Female,New,31-03-23,Social Media,Desktop
C00005,40,Noida,Uttar Pradesh,Female,New,20-11-25,Social Media,Desktop
C00006,30,Durgapur,West Bengal,Female,New,11-09-23,Organic,Mobile
C00007,26,Hubballi,Karnataka,Male,Loyal,10-05-24,Organic,Desktop
C00008,37,Thiruvananthapuram,Kerala,Male,New,04-07-24,Affiliate,Mobile
C00009,39,Warangal,Telangana,Other,VIP,08-01-25,Email,Desktop
C00010,23,Kolkata,West Bengal,Male,Regular,06-08-24,Email,Desktop
C00011,27,Siliguri,West Bengal,Male,Loyal,06-12-23,Paid Search,Mobile
C00012,18,Bhopal,Madhya Pradesh,Male,Loyal,29-10-23,Organic,Mobile
C00013,28,Nagpur,Maharashtra,Female,New,10-05-24,Social Media,Mobile
C00014,29,Panipat,Haryana,Male,Regular,21-08-23,Organic,Mobile
C00015,44,Gurugram,Haryana,Male,Regular,15-02-25,Email,Mobile
C00016,30,Lucknow,Uttar Pradesh,Male,New,25-02-25,Social Media,Desktop
C00017,32,Durgapur,West Bengal,Female,Loyal,06-07-25,Organic,Desktop
C00018,34,Salem,Tamil Nadu,Male,Loyal,03-06-25,Paid Search,Mobile
C00019,40,Salem,Tamil Nadu,Male,Loyal,24-11-25,Referral,Mobile
C00020,31,Bengaluru,Karnataka,Female,New,01-12-24,Email,Desktop
C00021,50,Amritsar,Punjab,Male,Loyal,09-11-23,Email,Mobile
C00022,29,Nashik,Maharashtra,Male,Regular,17-10-23,Organic,Mobile
C00023,25,Gwalior,Madhya Pradesh,Male,New,23-04-24,Social Media,Mobile
C00024,18,Siliguri,West Bengal,Female,Regular,01-04-25,Social Media,Mobile
C00025,23,Faridabad,Haryana,Male,Loyal,27-08-25,Paid Search,Mobile
C00026,34,Jaipur,Rajasthan,Female,Regular,20-05-25,Social Media,Tablet
C00027,26,Pune,Maharashtra,Male,Loyal,16-05-24,Email,Mobile
C00028,35,Patna,Bihar,Female,Regular,30-09-24,Paid Search,Mobile
C00029,38,Kota,Rajasthan,Female,New,22-02-23,Paid Search,Desktop
C00030,26,Bengaluru,Karnataka,Male,Loyal,27-06-23,Paid Search,Desktop
C00031,25,Coimbatore,Tamil Nadu,Female,Regular,08-08-24,Paid Search,Mobile
C00032,31,Kanpur,Uttar Pradesh,Male,Regular,31-07-23,Social Media,Mobile
C00033,18,Mumbai,Maharashtra,Female,Regular,01-06-23,Social Media,Mobile
C00034,42,Rajkot,Gujarat,Male,Regular,27-10-24,Social Media,Mobile
C00035,38,Chennai,Tamil Nadu,Female,New,14-09-24,Organic,Mobile
C00036,30,Kanpur,Uttar Pradesh,Male,New,13-12-24,Social Media,Mobile
