Delivery_ID,Order_ID,Warehouse,Shipment_Type,Promised_Days,Actual_Delivery_Days,Shipping_Cost_INR,Delivery_Status,Ship_Date
D000001,O000001,Mumbai,Standard,5,7,47.24,Late,17-11-24
D000002,O000002,Mumbai,Express,7,9,70.15,Late,10-02-25
D000003,O000003,Delhi NCR,Standard,5,3,122.01,On Time,06-05-25
D000004,O000004,Delhi NCR,Standard,7,3,197.75,On Time,21-10-24
D000005,O000005,Bengaluru,Standard,5,2,101.33,On Time,21-06-25
D000006,O000006,Bengaluru,Standard,5,5,92.76,On Time,11-04-24
D000007,O000007,Delhi NCR,Standard,3,1,260.82,On Time,07-09-25
D000008,O000008,Delhi NCR,Standard,7,7,62.39,On Time,05-01-25
D000009,O000009,Mumbai,Standard,3,1,262.94,On Time,23-10-25
D000010,O000010,Mumbai,Standard,7,5,82.23,On Time,30-03-24
D000011,O000011,Mumbai,Express,5,7,243.03,Late,20-02-25
D000012,O000012,Bengaluru,Standard,7,4,141.37,On Time,08-03-25
D000013,O000013,Mumbai,Standard,5,3,121.21,On Time,20-11-24
D000014,O000014,Hyderabad,Express,5,4,125.38,On Time,04-03-24
D000015,O000015,Hyderabad,Standard,7,6,218.71,On Time,15-03-25
D000016,O000016,Hyderabad,Standard,5,8,138.06,Late,12-01-24
D000017,O000017,Delhi NCR,Standard,5,8,165.25,Late,30-03-24
D000018,O000018,Bengaluru,Standard,5,4,173.95,On Time,10-03-24
D000019,O000019,Bengaluru,Standard,7,2,125.62,On Time,05-03-24
D000020,O000020,Hyderabad,Standard,3,6,64.12,Late,27-12-25
D000021,O000021,Mumbai,Standard,7,5,242.1,On Time,28-07-25
D000022,O000022,Bengaluru,Standard,5,4,222.84,On Time,18-03-24
D000023,O000023,Delhi NCR,Standard,7,6,230.42,On Time,22-06-24
D000024,O000024,Kolkata,Standard,5,2,156.83,On Time,29-08-24
D000025,O000025,Bengaluru,Express,5,2,137.84,On Time,11-04-25
D000026,O000026,Bengaluru,Standard,7,5,116.04,On Time,24-05-24
D000027,O000027,Delhi NCR,Standard,5,3,158.79,On Time,15-03-24
D000028,O000028,Bengaluru,Express,3,8,88.14,Late,14-11-25
D000029,O000029,Hyderabad,Standard,5,4,279.14,On Time,02-03-25
D000030,O000030,Mumbai,Express,3,2,112.6,On Time,03-03-25
D000031,O000031,Delhi NCR,Standard,5,2,146.79,On Time,07-11-25
D000032,O000032,Hyderabad,Standard,3,1,144.67,On Time,29-03-25
D000033,O000033,Mumbai,Standard,7,5,257.67,On Time,09-05-24
D000034,O000034,Bengaluru,Standard,7,1,200.06,On Time,29-08-25
D000035,O000035,Kolkata,Standard,5,5,60.66,On Time,02-04-25
D000036,O000036,Bengaluru,Express,3,3,180.94,On Time,25-11-25
D000037,O000037,Delhi NCR,Standard,5,3,151.42,On Time,11-01-25
D000038,O000038,Delhi NCR,Standard,5,5,199.2,On Time,01-07-24
D000039,O000039,Kolkata,Express,3,4,109.32,Late,23-03-24
D000040,O000040,Delhi NCR,Standard,7,3,196.11,On Time,04-06-24
D000041,O000041,Mumbai,Standard,5,2,145.44,On Time,11-12-24
D000042,O000042,Kolkata,Standard,5,5,150.47,On Time,17-02-24
D000043,O000043,Hyderabad,Standard,5,6,105.74,Late,18-01-25
D000044,O000044,Delhi NCR,Standard,7,6,58.44,On Time,01-04-24
D000045,O000045,Mumbai,Standard,5,9,129.34,Late,06-10-24
D000046,O000046,Hyderabad,Express,5,5,255.4,On Time,12-11-25
D000047,O000047,Delhi NCR,Standard,7,1,148.11,On Time,19-08-25
D000048,O000048,Bengaluru,Standard,7,4,123.48,On Time,04-06-24
D000049,O000049,Delhi NCR,Standard,5,5,272.94,On Time,20-12-24
D000050,O000050,Mumbai,Standard,5,7,36.24,Late,04-06-24
D000051,O000051,Kolkata,Standard,3,5,225.37,Late,21-07-24
D000052,O000052,Mumbai,Standard,5,4,130.37,On Time,30-10-25
D000053,O000053,Hyderabad,Standard,5,7,140.53,Late,05-01-26
D000054,O000054,Bengaluru,Standard,3,7,76.07,Late,25-11-25
D000055,O000055,Bengaluru,Standard,5,2,116.25,On Time,26-03-24
D000056,O000056,Delhi NCR,Standard,5,8,236.28,Late,02-01-25
D000057,O000057,Hyderabad,Standard,5,6,278.74,Late,12-12-24
D000058,O000058,Kolkata,Express,3,1,132.34,On Time,11-05-25
D000059,O000059,Bengaluru,Standard,5,1,216.15,On Time,30-11-25
D000060,O000060,Bengaluru,Express,7,4,239.35,On Time,06-02-25
D000061,O000061,Mumbai,Standard,5,4,139.77,On Time,11-07-24
D000062,O000062,Mumbai,Standard,5,5,181.45,On Time,17-05-25
D000063,O000063,Delhi NCR,Standard,5,8,180.98,Late,07-05-24
D000064,O000064,Hyderabad,Standard,5,4,93.16,On Time,09-09-25
D000065,O000065,Kolkata,Express,5,7,83.94,Late,14-11-24
D000066,O000066,Bengaluru,Standard,5,9,168.48,Late,07-09-24
D000067,O000067,Mumbai,Standard,5,5,69.51,On Time,28-08-24
D000068,O000068,Mumbai,Standard,5,9,54.91,Late,13-02-24
D000069,O000069,Mumbai,Standard,5,4,276.72,On Time,17-04-25
D000070,O000070,Kolkata,Standard,5,5,50.96,On Time,23-09-24
D000071,O000071,Delhi NCR,Standard,3,7,273.71,Late,18-11-24
D000072,O000072,Bengaluru,Standard,5,5,265.35,On Time,15-07-25
D000073,O000073,Mumbai,Standard,5,4,148.87,On Time,15-10-25
D000074,O000074,Bengaluru,Standard,5,5,125.12,On Time,28-06-25
D000075,O000075,Hyderabad,Standard,7,5,39.31,On Time,12-03-25
D000076,O000076,Delhi NCR,Standard,5,3,81.94,On Time,22-10-25
D000077,O000077,Mumbai,Standard,5,4,154.18,On Time,03-06-25
D000078,O000078,Kolkata,Express,5,7,228.03,Late,18-07-24
D000079,O000079,Delhi NCR,Standard,5,1,127.38,On Time,06-11-24
D000080,O000080,Mumbai,Standard,3,8,113.35,Late,05-06-25
D000081,O000081,Mumbai,Standard,5,5,252.31,On Time,10-12-24
D000082,O000082,Delhi NCR,Standard,5,5,134.29,On Time,18-07-24
D000083,O000083,Mumbai,Standard,5,3,115.3,On Time,24-03-24
D000084,O000084,Mumbai,Standard,7,5,59.28,On Time,09-07-24
D000085,O000085,Bengaluru,Standard,7,5,81.41,On Time,11-10-25
D000086,O000086,Delhi NCR,Standard,5,3,252.63,On Time,20-11-24
D000087,O000087,Hyderabad,Standard,5,7,181.5,Late,31-01-25
D000088,O000088,Delhi NCR,Express,5,3,73.51,On Time,22-05-25
D000089,O000089,Kolkata,Standard,3,6,115.42,Late,12-10-24
D000090,O000090,Mumbai,Standard,5,2,85.78,On Time,09-02-25
