Order_Item_ID,Order_ID,Product_ID,Discount_Pct,Quantity,Unit_Price_INR,Gross_Sales_INR,Discount_Amount_INR,Net_Sales_INR,Cost_INR,Gross_Profit_INR
OI0000001,O000001,P00193,11.1,1,4578.69,4578.69,508.23,4070.46,3144.02,926.44
OI0000002,O000001,P00736,23.5,1,234.84,234.84,55.19,179.65,161.58,18.07
OI0000003,O000001,P00838,9.7,1,2387.7,2387.7,231.61,2156.09,1774.42,381.67
OI0000004,O000001,P00830,6.6,1,1645.66,1645.66,108.61,1537.05,940.39,596.66
OI0000005,O000002,P00816,19.4,3,2220.2,6660.6,1292.16,5368.44,3406.32,1962.12
OI0000006,O000002,P00455,6.3,2,3294.21,6588.42,415.07,6173.35,4864.4,1308.95
OI0000007,O000002,P00769,15,2,799.72,1599.44,239.92,1359.52,1210.54,148.98
OI0000008,O000003,P00143,13.7,1,10354.53,10354.53,1418.57,8935.96,7104.97,1830.99
OI0000009,O000003,P00717,4.8,1,2234.78,2234.78,107.27,2127.51,1584.73,542.78
OI0000010,O000003,P00716,4.9,1,1063.44,1063.44,52.11,1011.33,732.52,278.81
OI0000011,O000004,P00684,10.1,1,1055.91,1055.91,106.65,949.26,621.92,327.34
OI0000012,O000005,P00480,21.4,1,22527.01,22527.01,4820.78,17706.23,14532.97,3173.26
OI0000013,O000006,P00240,5.2,1,1816.92,1816.92,94.48,1722.44,1053.45,668.99
OI0000014,O000006,P00454,4.5,1,17081.95,17081.95,768.69,16313.26,11858.36,4454.9
OI0000015,O000007,P00619,15.7,1,3403.81,3403.81,534.4,2869.41,2013.27,856.14
OI0000016,O000008,P00254,9.3,2,5040.97,10081.94,937.62,9144.32,6863.88,2280.44
OI0000017,O000008,P00862,6,1,6577.38,6577.38,394.64,6182.74,4971.53,1211.21
OI0000018,O000009,P00099,11.8,1,71637.15,71637.15,8453.18,63183.97,38121.04,25062.93
OI0000019,O000009,P00765,13.2,1,1934.17,1934.17,255.31,1678.86,1351.36,327.5
OI0000020,O000010,P00910,10.7,1,10290.17,10290.17,1101.05,9189.12,6501.39,2687.73
OI0000021,O000010,P00326,7.2,1,2728.72,2728.72,196.47,2532.25,1580.32,951.93
OI0000022,O000010,P00162,4.7,1,34640.63,34640.63,1628.11,33012.52,21320.79,11691.73
OI0000023,O000011,P00014,22.2,1,6607.02,6607.02,1466.76,5140.26,3522.56,1617.7
OI0000024,O000011,P00669,18.9,1,5450.89,5450.89,1030.22,4420.67,3065.15,1355.52
OI0000025,O000012,P00410,15.2,1,5490.71,5490.71,834.59,4656.12,2836.8,1819.32
OI0000026,O000012,P00040,15.1,1,61950.31,61950.31,9354.5,52595.81,45699.53,6896.28
OI0000027,O000012,P00256,21.5,1,2644.7,2644.7,568.61,2076.09,1664.3,411.79
OI0000028,O000013,P00769,6.4,1,799.72,799.72,51.18,748.54,605.27,143.27
OI0000029,O000014,P00788,10.5,1,883.16,883.16,92.73,790.43,673.44,116.99
OI0000030,O000015,P00436,11.8,1,1644.25,1644.25,194.02,1450.23,860.51,589.72
OI0000031,O000016,P00638,11.7,2,4193.5,8387,981.28,7405.72,4547.88,2857.84
OI0000032,O000017,P00038,3.4,1,31993.68,31993.68,1087.79,30905.89,15640.03,15265.86
OI0000033,O000018,P00589,22.1,3,1638.19,4914.57,1086.12,3828.45,3683.73,144.72
OI0000034,O000019,P00645,1.2,1,2869.14,2869.14,34.43,2834.71,1397.13,1437.58
OI0000035,O000020,P00175,16.5,1,6907.33,6907.33,1139.71,5767.62,4903.83,863.79
OI0000036,O000021,P00318,23.7,1,1313.8,1313.8,311.37,1002.43,680.22,322.21
OI0000037,O000021,P00513,6.8,1,4869.55,4869.55,331.13,4538.42,3631.05,907.37
OI0000038,O000021,P00117,0,1,68830.32,68830.32,0,68830.32,44798.3,24032.02
OI0000039,O000022,P00599,14.9,1,4080.86,4080.86,608.05,3472.81,2646.21,826.6
